pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,9/30/2024,89.2,-2.28,5.85,"Laureano, Ramón",657656,656731,home_run,hit_into_play,,,,,8,Ramón Laureano homers (11) on a fly ball to center field.,R,R,R,ATL,NYM,X,,fly_ball,0,1,2024,0.57,0.24,0.27,1.54,,,,1,6,Bot,102.68,34.36,,,,,5.167087574,-129.7883727,-5.144781124,5.258829834,28.89499911,-28.48594351,3.33,1.53,411,104.1,26,90.7,2147,7.4,747139,682626,624413,578428,668901,596019,607043,664056,621438,53.14,0.863,1.694,2,1,0,3,6,45,2,Cutter,2,0,2,0,0,3,3,0,Standard,Standard,162,0.071,1.024,75.5,7.6,3.241,-1.024,104.1,2,2,0.84,0.84,28,29,29,30,3,2,8,1,6,0,2.64,-0.57,-0.57,34
SL,9/30/2024,83.9,-2.25,5.89,"Albies, Ozzie",645277,656731,home_run,hit_into_play,,,,,4,Ozzie Albies homers (10) on a line drive to left field.   Michael Harris II scores.,R,R,R,ATL,NYM,X,,line_drive,1,2,2024,0.3,-0.08,-0.35,2.36,,,671739,0,3,Bot,49.15,63.34,,,,,3.891356726,-122.2024066,-1.612286016,2.20047777,24.00591761,-32.90602103,3.25,1.52,392,103.1,22,85.5,2225,7.2,747139,682626,624413,578428,668901,596019,607043,664056,621438,53.26,0.611,0.903,2,1,0,3,6,21,5,Slider,0,0,0,0,0,2,2,0,Standard,Standard,76,0.178,1.669,69.8,7,1.592,-1.669,103.1,0,0,0.594,0.594,28,27,29,27,2,1,8,1,6,0,3.31,-0.3,-0.3,35.4
FF,9/30/2024,94.7,-1.32,5.77,"Nimmo, Brandon",607043,628452,home_run,hit_into_play,,,,,6,Brandon Nimmo homers (23) on a fly ball to right field.    Jose Iglesias scores.,R,L,R,ATL,NYM,X,,fly_ball,2,1,2024,-0.77,1.26,0.34,2.48,,578428,,1,8,Top,234.34,74.69,,,,,6.022901638,-137.7859125,-5.697697078,-11.08284086,29.47162724,-15.09129852,3.49,1.74,405,107.1,38,94.5,2324,6.1,747139,518595,621566,645277,570482,606115,657656,671739,642201,54.39,0.643,1.335,2,1,0,3,6,62,4,4-Seam Fastball,3,4,4,3,6,3,6,3,Strategic,Standard,218,-0.153,1.552,76.8,7.5,2.567,-1.552,107.1,-1,1,0.225,0.775,34,31,34,31,1,3,2,1,0,0,1.28,0.77,-0.77,36.6
CU,9/30/2024,86.4,-2.31,6.04,"Lindor, Francisco",596019,572955,home_run,hit_into_play,,,,,8,Francisco Lindor homers (33) on a fly ball to center field.   Starling Marte scores.,R,L,R,ATL,NYM,X,,fly_ball,0,0,2024,0.84,-0.19,0.15,1.72,,,516782,1,9,Top,157.02,36.68,,,,,4.147315932,-125.8370138,-3.750456673,8.195695222,22.79151397,-33.74454788,3.33,1.52,413,107.2,35,86.2,3025,5.9,747139,518595,621566,645277,593160,570482,657656,671739,642201,54.64,0.791,1.621,2,1,0,3,6,76,1,Curveball,7,6,6,7,8,7,8,7,Standard,Standard,36,-0.657,1.692,80.2,8.1,3.146,-1.692,107.2,1,-1,0.831,0.169,33,30,33,31,1,4,2,1,2,1,3.21,-0.84,0.84,39.4
FS,9/29/2024,86.3,-2.28,5.6,"Lindor, Francisco",596019,607067,home_run,hit_into_play,,,,,2,Francisco Lindor homers (32) on a fly ball to right field.,R,L,R,MIL,NYM,X,,fly_ball,2,1,2024,-1.01,1.19,0.19,3.33,,,,0,6,Top,230.82,87.73,,,,,7.958169582,-125.4808311,-1.590285231,-12.28817447,25.65114176,-19.46753203,3.3,1.51,376,101.5,37,86.7,1322,6.6,745932,606992,641343,668930,687401,642715,686555,663368,694192,53.91,0.263,0.505,2,1,0,3,5,46,4,Split-Finger,0,4,4,0,5,0,5,0,Strategic,Strategic,248,-0.032,0.963,72.7,7.5,0.978,-0.963,101.5,-4,4,0.074,0.926,33,30,34,31,4,3,5,1,,1,1.88,1.01,-1.01,33.5
FF,9/29/2024,90.3,-1.08,5.46,"Grichuk, Randal",545341,663362,home_run,hit_into_play,,,,,6,Randal Grichuk homers (12) on a fly ball to right center field.    Alek Thomas scores.,R,R,R,AZ,SD,X,,fly_ball,3,2,2024,-0.51,1.1,0.42,2.62,,677950,,2,8,Bot,183.54,51.3,,,,,4.85918685,-131.467883,-3.548969989,-6.886200488,25.01724135,-18.82884365,3.23,1.46,392,102.7,31,91.3,2051,6.6,747147,553869,456781,630105,642180,605113,444482,701538,663604,53.86,0.714,1.449,2,1,0,3,6,69,9,4-Seam Fastball,9,2,9,2,2,11,11,2,Standard,Standard,225,0.001,1.767,76.5,7.5,2.793,-1.767,102.7,7,7,0.999,0.999,27,32,28,33,3,4,39,1,,,1.67,0.51,0.51,27.7
FF,9/29/2024,93.7,-2.17,5.69,"Carpenter, Kerry",681481,686563,home_run,hit_into_play,,,,,2,Kerry Carpenter hits a grand slam (18) to right center field.   Spencer Torkelson scores.    Trey Sweeney scores.    Parker Meadows scores.,R,L,R,DET,CWS,X,,fly_ball,0,0,2024,-0.39,1.24,-0.27,2.96,679529,700242,678009,2,5,Bot,181.02,35.72,,,,,5.746006791,-136.3630729,-4.086927084,-6.004588857,27.1243467,-15.98164659,3.32,1.6,425,107.1,38,94,2412,6.2,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.27,0.643,1.335,2,1,0,3,6,44,1,4-Seam Fastball,0,5,0,5,5,4,4,5,Infield shade,Standard,218,0.262,3.278,71.4,7.7,2.567,-3.278,107.1,-5,-5,0.087,0.087,23,26,24,27,3,2,5,1,,2,1.34,0.39,-0.39,29.7
CU,9/29/2024,81.1,-2.26,6.29,"Raleigh, Cal",663728,687765,home_run,hit_into_play,,,,,4,Cal Raleigh homers (34) on a fly ball to right field.    Julio Rodríguez scores.,R,L,R,SEA,OAK,X,,fly_ball,2,2,2024,0.89,-1.01,-0.5,2.79,,,677594,1,5,Bot,218.62,59.63,,,,,2.228687392,-118.0479272,0.785327501,7.81208928,24.11951305,-41.98606723,3.47,1.6,412,109.2,27,80.7,2824,6.2,745201,668832,691016,680869,663527,669397,663662,668709,664913,54.32,0.991,2.025,2,1,0,3,6,36,5,Curveball,4,0,4,0,0,6,6,0,Infield shade,Standard,50,0.041,1.718,80.3,8.2,3.936,-1.718,109.2,4,4,0.938,0.938,26,27,26,28,3,2,5,1,,,4.5,-0.89,0.89,54.7
CH,9/29/2024,82.5,-1.55,6.04,"McCann, James",543510,641927,home_run,hit_into_play,,,,,4,James McCann homers (8) on a fly ball to left field.   Ryan O'Hearn scores.    Cedric Mullins scores.,R,R,R,MIN,BAL,X,,fly_ball,1,1,2024,-1.41,0.43,-0.37,2.17,656811,656775,,1,5,Top,41.81,69.55,,,,,5.547006898,-119.9317447,-3.103359829,-14.70695799,24.49475631,-27.66763841,3.37,1.51,381,105.3,24,83.9,1939,7.4,745846,543877,467793,571657,668904,686797,668885,680577,622534,53.13,0.857,1.56,2,1,0,3,6,34,3,Changeup,2,0,0,2,3,2,3,2,Standard,Standard,247,-0.269,1.943,71.9,7.3,2.928,-1.943,105.3,2,-2,0.648,0.352,28,34,29,34,2,1,5,3,,2,2.95,1.41,1.41,36.5
FS,9/29/2024,84.2,-1.92,5.63,"Sosa, Lenyn",672820,628317,home_run,hit_into_play,,,,,7,Lenyn Sosa homers (8) on a fly ball to left center field.   Miguel Vargas scores.    Zach DeLoach scores.,R,R,R,DET,CWS,X,,fly_ball,0,1,2024,-0.81,-0.05,-0.48,2.1,,678246,676113,2,3,Top,62.52,47.54,,,,,4.950048296,-122.6734211,-1.811556604,-9.114262304,21.93369501,-32.53373543,3.29,1.56,405,103.1,30,84.5,1306,6.2,746416,668670,679529,690993,663837,700242,682985,678009,672761,54.28,0.726,1.441,2,1,0,3,6,21,2,Split-Finger,0,2,2,0,5,0,5,0,Standard,Standard,243,-0.188,2.729,72.8,7.3,2.773,-2.729,103.1,-2,2,0.284,0.716,36,24,36,24,2,1,9,1,,,3.23,0.81,0.81,39.7
