"","batter_name","mean(launch_speed, na.rm = TRUE)","launch_speedten","launch_speedtwnety","launch_speedthirty","launch_speedforty","median(launch_speed, na.rm = TRUE)","launch_speedsixty","launch_speedseventy","launch_speedeighty","launch_speedninety","launch_speedninetynine","maxev","launch_speedfirstquartile","launch_speedthirdquartile","n()"
"1","Abrams, CJ",93.6311320754717,80.5,86.32,89.73,93.08,95.45,97.52,99.2,102.18,104.09,108.289,109.9,87.45,101.05,212
"2","Abreu, José",91.1394736842105,80.52,81.66,85.7,88.6,93.45,95.22,96.67,99,101.53,104.797,105.5,85.125,97.575,38
"3","Abreu, Wilyer",94.386875,78.96,85.88,90.21,94.12,95.95,98.3,101.16,103.64,106.51,111.964,114.4,88,102.825,160
"4","Acuña Jr., Ronald",95.1967741935484,76.99,85.94,91.56,94.94,98,100.2,101.75,104.18,109.35,113.59,114.2,88.8,103.1,62
"5","Adames, Willy",93.0338461538462,76.13,83.7,89,93.36,95.35,98.44,100.73,103.1,104.93,108.805,112.3,86.075,102.025,260
"6","Adams, Riley",93.5027777777778,71.25,84.3,89.8,93,97.35,99.3,101.8,105,107.9,109.66,109.8,87.05,103.6,36
"7","Adell, Jo",96.4403846153846,80.6,88.8,92.3,94.6,97.2,99.6,103.5,107.1,110,113.88,115,91.5,105.775,156
"8","Ahmed, Nick",89.9788732394366,73.9,81.3,86.6,88.8,91.9,93.7,96.8,99.9,101.6,104.2,104.2,82.8,98.75,71
"9","Albies, Ozzie",91.4539772727273,79.35,84.1,87.5,89.4,92.4,95.1,97.05,99.1,102.1,109.2,113.7,86.15,97.95,176
"10","Alexander, Blaze",90.1061224489796,76.44,82.48,87.14,88.6,91.1,94.18,97.76,98.54,99.9,109.4,110.6,86.2,97.8,49
"11","Altuve, Jose",89.0708333333333,71.56,78.66,84.39,88.18,92.25,94.68,97.71,99.94,103.17,107.474,108.4,81.5,98.8,264
